,MODEL,PRICE,MODEL YEAR,CAR AGE,JAPANESE,FUEL,ODOMETER,TITLE STATUS,TRANSMISSION,CONDITION,CYLINDERS,DRIVE,PAINT COLOR,SIZE,TYPE,VIN
379,DODGE DART AERO,6000,2014.0,8.0,0.0,gas,118282,clean,automatic,excellent,4 cylinders,fwd,white,,,
380,CHRYSLER TOWN AND COUNTRY,3500,2007.0,15.0,0.0,gas,213000,clean,automatic,good,6 cylinders,rwd,silver,mid-size,mini-van,
381,MITSUBISHI FUSO,12500,1994.0,28.0,1.0,diesel,173556,clean,manual,good,6 cylinders,rwd,white,full-size,truck,JW6DNM1E8RL001218
382,FORD EXPLORER LIMITED,2200,2002.0,20.0,0.0,gas,203000,clean,automatic,good,6 cylinders,4wd,green,full-size,SUV,
383,TOYOTA 4RUNNER,6900,2004.0,18.0,1.0,gas,235068,clean,automatic,excellent,6 cylinders,rwd,,,,
384,TOYOTA MATRIX,3995,2007.0,15.0,1.0,gas,246550,clean,automatic,good,4 cylinders,,silver,compact,hatchback,
385,NISSAN MAXIMA SR,17500,2017.0,5.0,1.0,gas,,salvage,automatic,good,6 cylinders,fwd,black,full-size,sedan,
386,NISSAN MAXIMA SR,18500,2017.0,5.0,1.0,gas,56000,salvage,automatic,good,6 cylinders,fwd,black,full-size,sedan,
387,CHEVROLET IMPALA LTZ,3300,2013.0,9.0,0.0,gas,165000,clean,automatic,excellent,,,,,sedan,
388,CHEVROLET TRAILBLAZER LT,2000,2002.0,20.0,0.0,gas,226806,clean,automatic,,6 cylinders,rwd,,,,
389,DODGE RAM 3500,24500,2009.0,13.0,0.0,diesel,91901,clean,manual,excellent,6 cylinders,4wd,black,,truck,
390,SUBARU OUTBACK LL BEAN EDITION,5700,2005.0,17.0,1.0,gas,116228,clean,automatic,good,6 cylinders,4wd,green,,wagon,
391,HUMMER H3,13500,2007.0,15.0,0.0,gas,224500,clean,automatic,excellent,5 cylinders,4wd,black,,SUV,
392,CADILLAC ESCALADE ESV,45000,2016.0,6.0,0.0,gas,89000,lien,automatic,excellent,8 cylinders,4wd,white,,SUV,
393,CHEVY SILVERADO,2500,2003.0,19.0,0.0,gas,374000,clean,automatic,good,8 cylinders,rwd,silver,full-size,pickup,
394,JEEP GRAND CHEROKEE LAREDO,5200,2006.0,16.0,0.0,gas,94300,salvage,automatic,good,6 cylinders,,,,SUV,
395,GMC ACADIA SLE,4800,2008.0,14.0,0.0,gas,133192,salvage,automatic,good,6 cylinders,fwd,blue,full-size,SUV,1GKER13758J156281
396,CHEVROLET IMPALA LT,2800,2009.0,13.0,0.0,gas,161194,salvage,automatic,good,6 cylinders,fwd,custom,mid-size,sedan,2G1WT57K491260594
397,DODGE CHALLENGER R/T,8800,2010.0,12.0,0.0,gas,198000,clean,automatic,,,,,,,
398,FORD FUSION,3200,2012.0,10.0,0.0,gas,129295,salvage,automatic,good,4 cylinders,fwd,black,mid-size,sedan,3FAHPOJAXCR310205
399,FORD F-350,95000,2019.0,3.0,0.0,diesel,20500,clean,automatic,like new,8 cylinders,4wd,black,full-size,pickup,1FT8W3BT2KEE74435
400,BUICK LESABRE 4S,975,2005.0,17.0,0.0,gas,127000,salvage,automatic,salvage,,,,,,
401,FORD EXPEDITION EL,20000,2013.0,9.0,0.0,gas,119500,clean,automatic,excellent,8 cylinders,fwd,white,,SUV,
402,DODGE CHARGER R/T,2500,2006.0,16.0,0.0,gas,153000,clean,automatic,fair,8 cylinders,4wd,custom,full-size,sedan,
403,MORGAN PLUS 8,65000,1982.0,40.0,0.0,gas,14500,clean,manual,like new,,rwd,blue,,,
404,VOLVO 240,2800,1992.0,30.0,0.0,gas,,clean,automatic,good,4 cylinders,rwd,white,mid-size,sedan,
405,FORD F-150,2500,1998.0,24.0,0.0,gas,247881,salvage,automatic,good,8 cylinders,rwd,green,full-size,truck,
406,TOYOTA TACOMA,3500,1998.0,24.0,1.0,gas,,clean,manual,good,4 cylinders,,red,,pickup,
407,JEEP WANGLER,7300,1999.0,23.0,0.0,gas,189800,clean,manual,good,6 cylinders,4wd,blue,,SUV,
408,HONDA ACCORD,800,2000.0,22.0,1.0,gas,279077,clean,automatic,,,,,,,
409,TOYOTA SEQUOIA SR5,4800,2002.0,20.0,1.0,gas,218000,clean,automatic,good,8 cylinders,4wd,,,,
410,LINCOLN TOWN CAR,8800,2006.0,16.0,0.0,gas,96540,clean,automatic,like new,8 cylinders,rwd,white,full-size,sedan,
411,SAAB 9-3 AERO CONVERTIBLE,7900,2007.0,15.0,0.0,gas,189000,clean,automatic,excellent,6 cylinders,rwd,silver,,convertible,
412,HUYNDAI TUCSON,4500,2009.0,13.0,0.0,gas,150186,clean,manual,good,4 cylinders,fwd,silver,mid-size,SUV,KM8JM12B59U044106
413,MINI COOPER,5999,2009.0,13.0,0.0,gas,114500,clean,manual,excellent,4 cylinders,fwd,blue,compact,,
414,NISSAN MAXIMA,4200,2009.0,13.0,1.0,gas,174816,salvage,automatic,excellent,6 cylinders,fwd,grey,mid-size,,
415,FORD F150 SUPERCREW,25000,2011.0,11.0,0.0,gas,107500,clean,automatic,excellent,8 cylinders,4wd,white,full-size,,
416,CHEVROLET SILVERADO LT,21500,2014.0,8.0,0.0,gas,119000,clean,automatic,excellent,8 cylinders,rwd,grey,,truck,1GCRCREC7EZ187293
417,HYUNDAI SANTA FE SPORT,16550,2014.0,8.0,0.0,gas,59080,clean,automatic,good,4 cylinders,rwd,white,mid-size,,
418,JEEP GRAND CHEROKEE OVERLAND 4X4,22000,2014.0,8.0,0.0,gas,100300,clean,automatic,good,6 cylinders,4wd,grey,full-size,SUV,
419,CADILLAC SRX,32300,2015.0,7.0,0.0,gas,36610,clean,automatic,excellent,6 cylinders,4wd,brown,mid-size,SUV,3GYFNEE35FS569605
420,GMC SIERRA 2500HD DENALI,55000,2016.0,6.0,0.0,gas,49200,clean,automatic,excellent,,4wd,black,,truck,
